category,sub_category,crimeaditionalinfo
Online Financial Fraud,UPI Related Frauds,the fraudster threatening me to give money take he was speaking hindi languagethe phone number to which i sent money is and the account holder name is anil sumanthey threatening me in facebook
Online Financial Fraud,UPI Related Frauds,after completing task also he is not allowing me to withdraw and asking more moneyhe contacted me with whatsapp number and then gave a telegram link where i can contact him through that customer service telegram the products are should purchased with our money and after buying the commission added and we can withdraw but at third task he said to add more money if it insufficient to the product price and it kept on going where there is no endthe amt of is increasing per product and the money spent went to freeze state and after completing task also he said to pay extra amt but i have said i donot have money then also he said if u pay only u can withdraw
Online Financial Fraud,UPI Related Frauds,mere pass call aaya tha payment ke liye request send kiya gaya tha usne mughse payment karne ke liye kaha rs send ka diya maine transition susses hone ke baad call bhi nahi receive kar raha tha payment ho jane ke baad mughe samgh me aaya ki ye frud h
Online Financial Fraud,UPI Related Frauds,caler informed that he clicked link so he losd amount through phonepay wallet suspect details upi id normattradingokhdfcba corpateesaf shaikh hussain rahim luxuryentrprisesyesbank
Online Financial Fraud,UPI Related Frauds,on at about pm the fraudster with an intention of wrongful gain from the victim sent message to the victim and asked the bank details the victim aged about years believed that the message is from sbi and gave all details to the fraudster who with drawn an amount of rupees
Online Financial Fraud,UPI Related Frauds,fraud thorogh upi google pay bank bank of india account number total amount please hold reverse total amount in the complainants account and take necessary action
Online Financial Fraud,UPI Related Frauds,i booked a phone from watsapp and dealer said i ll get the order details in mins but i did not got any details and it has been few days so i think the dealer has done fraud with me and i also paid the amount to his bank account
Online Financial Fraud,UPI Related Frauds,hello respected sir today i got a call from numbers and they called me saying they are the representatives of gonoisecom and informed me about the order that i had made last year in the month of july they said im eligible for the offer to win an apple iphone if i buy a product worth rupees from gonoisecom they asked me to make the payment for a product of rs to be eligible for the offer and gave their bank details and i paid the money since they said my previous order details my name and address correctly but after some time again i got a call and they asked me to send a gst amount for the apple phone which is rs by mentioning a coupon code in the add message section in phone pe app i trusted and made the payment but they said coupon code is entered incorrectly and the money is stuck and it cant be refunded in order to refund i need to pay again and enter coupon code correctly i made the payment of rs again and later they started telling my account should have balance of rs inorder to get refund and asked me to share otp i realised this is fraud and started requesting for the refund of my money of in total they refused to it then i called noise customer care but they say please do not trust any representative who said they are from noise and provide offers i have lost a big amount please help me sir i feel bad that many people like me will be going through this this should be stopped thank you
Online Financial Fraud,UPI Related Frauds,my name is monika i lived in jajjar i got a fake call early morning around scamer call me and has my all the information they misguided me with the name of my family member amount has been deducted from my saving account on th january in jhajjar please help me out and kindly look into the matter
Online Financial Fraud,UPI Related Frauds,hi i got a message on instagram from this user that they are selling premium mobile phones on low price i was to pay booking amount of first before shipping the product after payment they ordered the phone on flipkart and shared screenshot with me on delivery day they asked for remaining amount of to give me the otp which would be required to get the product from delivery boy
Online Financial Fraud,UPI Related Frauds,i do payment for neet ug registration counselling by upi amazon rupees amount is debited from my account but payment status is seen pending then i call amazon customer care they says your payment is debited on rozarpay then i search rozarpay customer care number on google and call him my call ring is cut and in some minute call is back on my mobile he say me your payment is return on your account and ask me a otp and rupees are also debited from my account there are two froud transaction are done in my account i also inform to bank
Online Financial Fraud,UPI Related Frauds,i got a massage on my phone that you will get a part time job at that link i opened watsapp and then i put the company page and then i was asked tu put money on upi id transfer teligramid httpstmerameshv
Online Financial Fraud,UPI Related Frauds,fraud through phone pay bank india post payments bank account no total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,rai singh banjara so pappu lal banjara email idrkbanjaragmailcom address luhariya dek post kalwandi kalan pin code ps sadar jhalrapatan disst jhalawar se suchna karta ke pass es no se call aaya or phone pay se fraud ho gya suchna karta ki phone pay ybl link by ac sbi ifscsbin st transaction id t utr no date time am rs nd transaction idt utr no date time am rs rd transaction id t utr no date time pm rs th transaction id t utr no date time pm rs suchna karta ne btaya ki es ac me hdfc cash rs date time pm ko cash dalwaye bank se total fraud frauder details phone pay
Online Financial Fraud,UPI Related Frauds,i have searched for online job in google and found shinecom who is offering jobs i sent my resume to shinecom portal and received e mail i have paid registration fee of and later paid interview fee and bond fee to the company through patm and phone later came to know this was fraud and reporting
Online Financial Fraud,UPI Related Frauds,i got into a fraud trap stating that they are from naukricom and want to provide me job at cipla pharmaceutical industry so they requested security money rsrs i came to know they are fraud as i confirmed it from official cipla company contact number please help me get my money back i also filed a complaint in the khardah police station please help
Online Financial Fraud,UPI Related Frauds,i maintain savings bank account no in sbi branch tis hazari delhi sir on i purchased a mobile redmi note pro black imei meid vide billinvoice no g from cells smart cafe g g g g g g mk sec rohini delhi for a sum of rs after a few days of purchase of this mobile some faults have been created therein on i went to get repaired my said mobile to the concerned service centre devine galaxy eservices off st floor aggarawal city plaza mangalam sec near mk mall rohini delhi opposite to shop from which said mobile was purchased
Online Financial Fraud,UPI Related Frauds,online frauds advertisement portal fraud ecommerce platform olx victim olx lo product petaru fraud valu call chesi intrest vundi ani cheparu memu amount pay chestham ma company ni nunchi amount pay cheyalante first miru amount pampandi miku double amount vasthadani ani chepi victim ni divert chesi amount vesukunaru
Online Financial Fraud,UPI Related Frauds,fraud through ac bank indian bank including allahabad bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,caller has losted rs from their icici bank account by assuring to get a job through facebook and made a fraud
Online Financial Fraud,UPI Related Frauds,i applied for loan and he said pay processing fee i paid after that he said pay percent of loan amount i paid only after that sad pay otherwise u will not get the laon amount and i haveafter that he sad pay now but i refused he sad u will not get loanand no refund
Online Financial Fraud,UPI Related Frauds,mere number pe ek number se call aya jo number hai udhar se bola ki ap ka phone pay voucher jite ho jo apke account pe reedom kiya ja rha hai uske liye ap apna upi pin daleaysa usne tin bar karne ko bola jab call karne ke bad check kiya to ke tin transaction me rs kat gaye the
Online Financial Fraud,UPI Related Frauds,i tried to order some goods online the cost was so the fraudulent vendor told me to send upfront first i sent and then another then he demanded more so i realised it is a fraud i called and told him to refund it if not i shall complaint but he did not
Online Financial Fraud,UPI Related Frauds,i meet this person nd march in instagram they say me invest ruppes and get profit ruppes so i can give the ruppes in his phone pe account he is phone pe id is jagannathtraderybl so i send ruppes in this person account and he said wait minits so i can wait after minutes he reply me he said i can win ruppes so ican said his to transfer my bank account so he said give me my commission fee after i can transfer your bank account so i can trust this person and give commission fee ruppes after i can pay the fee he has blocked in me on instagram i have total loss is ruppesso dear sir please help me and givee my money back from this fruad
Online Financial Fraud,UPI Related Frauds,i was travelling in the market around pm i received a call from this fraudster said that he is my friend he already knew my name and said that he has transferred rs to me via phonepe and asked me to return i interrogated and then he said that it was his other number and his voice sounded different to which he said he had a cold i checked phonepe and i could not realize the difference and just clicked on the payment link and entered my password i lost rs and when i called him he said both of us will get the money and he asked me to send rs more i sent and i lost a total of rs request you to help me his upi id is toltiapanchanan at axl
Online Financial Fraud,UPI Related Frauds,main olx me purana cycle sell karneke liye ads lagaiya tha badme usne merese number manga to mene de dia uske bad call pe call aya tha muje pata tha wo fraud hai to uske details nikalme ke liye janbujkar call me baat kiya tha jisme usne paytm number bhi diya
Online Financial Fraud,UPI Related Frauds,dear sir please help for this matter i have lost rs the phone recive on my mobile phone and the money debit in my account the fraud men tells lie please solve the problem and return my money thanks
Online Financial Fraud,UPI Related Frauds,ritesh vermafraud he told we will provide laptop screen for best price so i have ordered screens for on friday he told saturday n sunday is lockdown we cant do parcel the item so i waited till monday and called on monday he told minimum nos should be orderd and demanded rs extra then i thought its fraud and reported
Online Financial Fraud,UPI Related Frauds,citizen detail name shiv kumar so suraj bhaan add gav bhaloth th bhuna mob email shivkumarbhgmailcom dist jhunjhunu pin code ps kachri froud phone pay citizen bank detail ac no sbi ifsc sbin phone pay no transacation detail trid t utr time am date amount total froud trid t utr time am date amount total froud frouder detail mobphone pay summary suchna karta ko call kar kbc ke naam se phone pay se frod hua he
Online Financial Fraud,UPI Related Frauds,to purchase an online game benefits while opting to get a legit web page google showed this fraudulent website as the first option promoted by them as ads which i later saw i took this as an official website codashopcom where previously i used to buy these benefits due to a little negligence from my end i took this fraudulent website as the other legit site and made the payment of inr i tried to contact the support of this website but they refused that i made any payment or of that my email address i gave in is not even in their database this raised a doubt as their repeat mail also looks fake i have given request my bank to take this issue and they will call me in the morning around approx pm later or sooner i take maximum precautions while doing these transactions and am aware too by public and awareness government and law enforcement delivers still seems i landed in the trap though its not a big amount but this could have been a blunder ive given the details of website the payment made receipts their mail back to me basically this fraud is in pretext of buying in game benefits
Online Financial Fraud,UPI Related Frauds,i was the victim of email phishing i received a mail from savirginmediacom id i was asked to transfer money to the account i transferred the money to upi id paytm i thought it was my coworker but when crosschecked i got to know it was not him please help me to retrieve my money back please
Online Financial Fraud,UPI Related Frauds,sir pls hold this amount life linevisa provider cheated many people like this offering fake visa and makking many people fool sir please take immediate action against them they are from chandigarh few more people like me cheated with bigger amount sir please do necessary action against them to stop cheated others
Online Financial Fraud,UPI Related Frauds,transaction id t paid to mobikwik nenu chrom open chesanu naku oka scratch card vachindhi dani nenu scratch chesanu send directly your account no ani msg vachindhi nenu continue chesanu next upi pin enter chesanu ventane na money cut aipoyayi
Online Financial Fraud,UPI Related Frauds,client asked for the job of tank to acama engineering company through india mart sight after the dispatch of order to recive payee they asked to first pay the total amount to them saying as it is militray account it take the amount and return the amount with your payment we did the transaction times until we realize its fraud
Online Financial Fraud,UPI Related Frauds,yesterday i tried to purchase a bluetooth speaker from onenine mall sitei cannot get any track about this item from the sitei paid rupees to patel agencies through google pay i think i lost my moneyso please help me to get back my money thanking you abin ali
Online Financial Fraud,UPI Related Frauds,online frauds business and investment fraud dubious social media links complainant got a msg with link when she clicked the link it directly redirected to wtsapp they asked the victim to invest money hence she lost her money
Online Financial Fraud,UPI Related Frauds,fraud through upi phone pe bank state bank of india account no total amount please hold reverse total amount in the complainant account and take necessary action
Online Financial Fraud,UPI Related Frauds,i have given advertise for renting out my flat in kolkata at acres i received a call from stating he is from indian army and would like to rent my flat he sent me hi id proofs and asked mine as well then we discussed about the rent expenses and he called me with one of his seniors he kept on demanding money over the call and said i need to transfer it via google pay once the money is transferred then the entire amount will be credited to me twice unfortunately i fell in his trap and transferred and never got back he was continuing to threat me and said my id proofs will be mishandled and reported to the indian army am scared and worried about the money and misuse of my id proofs please take necessary steps and help me out thanks
Online Financial Fraud,UPI Related Frauds,fraud through google pay bank state bank of india account no total amount please hold reverse total amount in the complainant account and take necessary action kindly do some needful as soon as possible
Online Financial Fraud,UPI Related Frauds,fraud through bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,was forced to pay money for religious purpose there were people and were asking for grant of for gurudwara purpose and was forced to give money as people were scare kindly help to get the money back
Online Financial Fraud,UPI Related Frauds,sir jesa ki mene purv report me kaha ki kl feb ko meri upi id se ke transaction kisi fraud ne kr liye jo ki rashi mere ac se kat gayi h atah me is frod ki karyawahi hetu shikayat darj kr rha hu plz is sambandh me karyawahi kr prarthi ko wapis ye rasshi dilwane ka kasht kre ati mahhatta hogi aapki
Online Financial Fraud,UPI Related Frauds,fraud through google pay bank indian bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,online frauds job fraud linkedin jobs victim got a call to his mobile and told the victim that they are calling from linkedin com and told the victim that she was short listed for a job in air india and need to pay some amount for interview and victim paid that amount and later demand more amount for interview schedule and victim paid that amount too and later keep on demanding for more amount from and victim got doubt and called to
Online Financial Fraud,UPI Related Frauds,i got a call from and recevied a sms which have a link when i click the link phone pay app open and my account money is debited my account number is fraud through upi fraud phone pe bank hdfc account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,me karishma kanwar daughter suresh singh village palasiya kla ki rahne wali hu mere phone par date ko phone aaya ki me aapki jobe lga dunga par aapko mujhe rupees dene hoge jispar mane jariye google pay se rupees bhej diye ab vo bola rha h ki me tumare pese nhi dunga is prakar online prode se mere total rupees nikal liye h
Online Financial Fraud,UPI Related Frauds,i paid to the upi id attached in the screenshot named kishan lal bairwa to a scheme of rs on integration app i was unable to withdraw any money they are not receiving the message now it seems they have fled with my money please help me to recover it
Online Financial Fraud,UPI Related Frauds,please block and refund amount to victim account no axis bank and please don the need full action so that i can get my hard earned money very thankful for your kind action please imediate help for my in favour of me
Online Financial Fraud,UPI Related Frauds,withdrawal from atm by unknown
Online Financial Fraud,UPI Related Frauds,the man sanjay singh fraud in the name of army he do fraud with me we put an ad for room rent in olx he contact from its phone no and orally booked room my father ask him for security deposite of rs he not sent money in bank account no than he send its first qr code for rs we scan that qr code we got the amount of rs than he make qr code for rs rs in same process we pay that amount through paytm due to sufficient balance we cant pay this amount than he make rs qr we pay on that through paytm in this time my money was deduct when i said to sanjay singh he said you only take sec to pay this again he make qr of rs in same procces we pay but money again deducted so we tell him he say yor limit was low your maximum limit of rsfirst you make rs limit than again payment it we arrange money of rs and paid him he again ask us to pay and tell your limit was low your minimum limit is rs we ask him to return money he said i dont get money we go to our union bank and tell our issue they checked and tell that account holder is deepak kumar bank name federal bank acc no its mobile no the tranction amount is transation id is the secound amount is rs tranction id third payment amount rs transation id my acc is union bank of india accno ifsc ubin upi id paytm
Online Financial Fraud,UPI Related Frauds,fraud through phone pe bank airtel payments bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,a person called from unknown number and faked his identity and and asked for the help to send money to my account and transferring the same money to him i wasnt aware of much of this and i did as he told and times in each transaction money was transferred from my bank account to his account via phone pay but when i checked there wasnt any credit from his side it was too late to know that it was a scam i called to his number but it is not beinh lifted this number shows on true caller as sir ji and its from punjab and on phone pay name shows as sk suraj these are the details we know
Online Financial Fraud,UPI Related Frauds,phone pe per bonus milne ke nam pe fraud kiya gaya
Online Financial Fraud,UPI Related Frauds,game chips se paisa kata gaya hai
Online Financial Fraud,UPI Related Frauds,they contacted me on olx and then on whatsapp first they asked me to send inr which got refunded none of the major amounts like and inr were refunded i have an audio recording of the incident too which i shared with the whatsapp number of assam police one man and one woman were involved in the incident
Online Financial Fraud,UPI Related Frauds,total upi fraud of rs the incident held via google pay throgh online please do me a favor to rectify my complaint as soon as possible i m very much oblige to cansider my compliant on prority basis
Online Financial Fraud,UPI Related Frauds,sir one day they call a number they said a online job recruitment for me sir i knowthis is a fraud but i know no that why i accepted this job because that time myproblem some money so this company provide me website and fraud agrementwork time days and i comptit some work today company call me and he saidme send some money otherwise they case file my name and send me courtnotice they demand money of rscompany mane mk enterprises sir i already filed a case filed at nearest balurghat cyber crime police station dateon jan they are investigating the case but have not solved this case forthe last five month in charge officer said to me they some paper send to offendernearest police station and talk to bank and police station but five month latters i goto police station and want investigation information this case related officerprovided me with the same information before five months ago and officer said tome wait me a long time for solved this case and they said to me not wait for thismoney you wont get it potential sir its my humble request investigating this caseperfectly and help me sir i file a case date on jan at balurghat cyber crime police station but this case not solved properly lastmonth when i visit police station they told their talk to bank manager bank manager said my case serial no of andthis account are closed thats why they stop this investigation and investigation officer no action for this criminal sowhat do i d
Online Financial Fraud,UPI Related Frauds,i ordered the a phone on th feb from a person which was running a business online and the amount is he asked me to pay full and he will said me mail but it didnt came then he told me the product will come on th feb but it didnt then he said he will make refund process and i will get my money today but i didnt please help me as i know it is fraud to get my money back the upi id of that person is nathbabaharshokaxis
Online Financial Fraud,UPI Related Frauds,accused called the complainant who is running a pop shop and ordered pop and said he was calling from military and by cheating asked complainant to make first payment and cheated
Online Financial Fraud,UPI Related Frauds,venom custom is selling online electronic product like mobile accessories we did online payment taken of rs rs via google pay and rs via internet banking and then he blocked my number and no confirmation on product delivery
Online Financial Fraud,UPI Related Frauds,fraud through upi fraud phone pe bank kotak mahindra bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,fraud through paytm bank paytm payments bank account no total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,this person ajay dhiman said me that he will refund my money but he never refund my money i go to local police station for this but ajay never came to police station and make excuse every time please help me to get my money back
Online Financial Fraud,UPI Related Frauds,fraud through phone pay bank hdfc bank account number total amount please hold reverse total amount in the complaint account and take necessary action fraud through phone pay bank hdfc bank account number total amount please hold reverse total amount in the complaint account and take necessary action fraud through phone pay bank hdfc bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,in this honey trap i lost my money they cheated me twice and they threaten me they ask more money after i give that also they threaten my friend i got scared and i request cyber cell i dont no what to do i am helpless please help me
Online Financial Fraud,UPI Related Frauds,this fraudster wanted to buy a chair which i had advertised on olx and then he said he will transfer money on my phonepe and sent me a qr code which he wanted me to scan and make rs payment assuring me to get the same back in my account he continuously requested and took vow on god and made me pay he did this for occasions and took in total kindly look into this issue and trace the person as he will continue to cheat more innocent people i am a retired person and while being cheated like this i am helpless kindly assist me if you can
Online Financial Fraud,UPI Related Frauds,hi i applied for loan i got very low eligibility so i ignored uninstalled the support loan app but still i have received to my account on th feb from th march onerds im getting blackmail wrong calls using my photo contacts list asked me to pay amount so i paid to manojjethvayesbank but still they asked me to pay threating with my contacts data blackmailing me please help me out thank you
Online Financial Fraud,UPI Related Frauds,fraud through upi fraud google pay bank indian bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,the incident took place over a phone call and through paytm upi a person called and said he wants to transfer money through our paytm message received of rs on paytm inbox but no money was received the person said that i have to add money in my account and then it will be credited to my account linked to paytm i added rs from my another bank account to bank account linked to paytm and then transfered the same amount to above mentioned number and my money got deducted but no money was received then again he said to add rs to account and it will be reversed to my paytm but again no money was received and my money got deducted now the person is not picking up the call
Online Financial Fraud,UPI Related Frauds,fraud through upi phonepe bank canara bank account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,my name is mohammad sayeed so haji abdul huq vigyan nagar tehsil ladpura district kota raj my account is in icici bank branch kota raj i am a car mechanic by profession the accident happened at pm i got a phone call from someone he was telling himself to be my old client he told me that he owes me some money then he will give me money online after that he sent me a link on phonpe after that asked to process this link i clicked the link and processed further then rs was deducted then i was released that fraud has happened with me i request you that i am very upset please help me
Online Financial Fraud,UPI Related Frauds,fraud through phone pe bank bank of baroda including vijaya bank and dena bank state bank of india account number total amount please hold reverse total amount in the complaint account and take necessary action
Online Financial Fraud,UPI Related Frauds,received call to my father that their friend voice he told there relative met with an accident need money for blood on urgent on hearing his voice which similar to my father friend voice in panic mode my father send money later we have found that its fraud when he started requesting for more money still his phone no is active receiving our call on
Any Other Cyber Crime,Other,i received a call from at around and threatend me to transfer amount of before the call gets cut and sent me images of my family again called to send rupees and sent me cropped edited nude photo of my sister in total i have sent him rupees i tried to call cyber cell but no body picked call that is why complaint is delayed by hours i have also filed complaint at dial i really need help pl help me i have posted message of my hacked account on all social media
Any Other Cyber Crime,Other,i got a call from claiming that he is from avaya life insurance and claiming that he is from kotak life insurance cancellation team both had same voice and the number they had called on two different numbers one mine and one mom he said that i had purchased a plan and it was expiring since it was a money back plan he said that there is a sum assured that i need to collect i am sure that these numbers are fraud and i would like to report so that innocent people are not lured by these cheaters
Any Other Cyber Crime,Other,from january daily i have receive many call i have receive call and text message from two number and he is blackmailing me in text messages phone number from where i receive a call
Any Other Cyber Crime,Other,i got a random video call from a person whos truecaller no had the name of my colleague therefore i responded the call and immediately within seconds the camera starting recording a video of me and later i received threatening message from this number and in which they had a morphed video of myself in which they have made it seem like i was involved in a sex chat and they further blackmailed to give them money or otherwise they would send this video to all my facebook friends i was so scared and worried i shared the money of about as they promised they will delete the video now i am worried and complaining about this
Any Other Cyber Crime,Other,upi details whatever amount we have sent also not working now app install apk sent by them and asked our team to recharge for mining products and they asked to withdraw our amount on saturday but today they closed app and no phone number or whatsapp is working with this number
Any Other Cyber Crime,Other,hello sir by mistake due to small dot misisng in upi payment sent to wrong upi id i humbly request him many time to refund but he cut call and block the number his number is also working i already upload the screensht his name gangavarapu and acocunt in union bankhis mobile number is my bank account number is hdfc bank his upi id is gangavarapusrinivasaraoybl paymnet is on january hdfc bank said complaint to cyber cell his bank declined out request
Any Other Cyber Crime,Other,details of fraud party phone pe number total amount loss rs phone pay p msg aya dhhan dhan yojna k naam p msg aya phir file charge or phir gst ise kar k paise le liya charges bolkrr paise le liye humse na hi refund kree ha fraud hua hai hmare sath please help me
Any Other Cyber Crime,Other,these three loan app from which i never taken loan are harassing me for payment their representatives are daily threatning me giving slang language sending nude videos telling will make video of mine like this circulate to my relatives they hacked my phone data contacts plz help me otherwise if they do like this i have to do sucide mainly i know name of companies they are ob cash koko loans rupee smart
Any Other Cyber Crime,Other,a few days back i have received a call from an online job searching website shinecom through contact number and it was told to me that his name was prateek he has told me that your resume has shortlisted for a job in your area and that i will have to pay a registration fees rs which is accepted by me thereafter he sent me a link on text message that click on this link and fill personal details and make a payment rs then while i paid rs then i saw that there was an auto matic debit rsi told to mr prateek that debit from my account which was accepted by him then he told me that please click on refund policy button and fill details then we have follow same process then again rs got debited from my account same process repeat again as per him confirmation that he refund rs then again rs debit from my account no my account balance is rsnow i release that i have become the victim of an online fraud and thus have lost my money and since them i am going through a lot of mental harassment as well i am really hopeful about getting a proper solution
Any Other Cyber Crime,Other,payment of taken by upi statement attached now all company repersentative and numbers are closed no one responding company excutive shammi kapoor mobile no phone coming swithch off many peoples in bhiwadi have been looted by this number
Any Other Cyber Crime,Other,mere contact list sabko call laga rahe hai aur mere photo bhej rahe me frod aur chor bol rahe haiaur mera adhar aur mail id hach kar li jis se mere contact list copy kar li haiab me kya karu bahut jada paresan kar rahe hai
